HCT,AGRICULTURE,COMMERCIAL,INDUSTRIAL,MULTIFAM,OFFICE,PARKS,PubInst,SINGLEFAM,TRANS,UNDEVELOPED,COInst,%COInst,Grand Total,SB Cnt,HHI,Pop,Sbyn
100000,0,150,7,27,93,,101,1,23,129,345,0.649,532,21,53782,4690,Yes
210100,0,2,17,2,2,4,13,1,1,55,17,0.177,97,0,87375,9652,No
210400,,20,44,3,4,1,2,130,,119,26,0.081,324,0,24786,5328,No
210500,,36,39,21,1,,19,170,1,70,57,0.158,357,0,29263,4882,No
210600,0,13,18,6,0,0,4,155,1,23,18,0.079,222,0,42015,5497,No
210700,0,3,10,1,,,3,85,1,51,7,0.044,154,0,39931,2485,No
210800,,23,283,6,2,0,15,98,3,266,41,0.058,697,0,18171,2753,No
210900,,3,0,1,,,3,126,,64,7,0.034,198,0,34817,1620,No
211000,,8,2,5,0,,4,113,,59,13,0.066,191,0,13643,2039,No
211100,,10,16,5,0,,12,209,6,138,22,0.056,397,0,20486,6004,No
211200,,11,3,12,2,,16,185,,82,29,0.093,311,0,23874,2831,No
211300,,12,28,9,3,,27,147,,161,43,0.110,388,0,17117,5046,No
211400,0,6,191,43,102,814,1,94,1,256,108,0.072,"1,508",0,48493,3690,No
211500,,31,444,5,2,2,8,228,2,328,41,0.039,"1,051",0,31430,6907,No
211600,,16,22,3,1,,1,115,0,32,18,0.095,190,0,31716,2811,No
211700,,30,588,16,,5,25,237,7,168,54,0.050,"1,075",0,22728,3886,No
211900,,6,14,1,0,,1,172,,18,7,0.035,213,0,30714,5225,No
212300,,17,116,12,3,0,5,135,4,246,24,0.045,536,0,21580,5381,No
212400,,14,7,1,2,,0,84,1,15,16,0.130,125,0,25653,3216,No
212500,,24,292,1,3,,24,58,6,79,50,0.104,486,0,31840,3610,No
230100,,1,,,,,24,8,22,6,24,0.396,61,0,28581,1705,No
230200,,7,15,,1,,1,16,,12,9,0.170,51,0,32307,5054,No
230900,,1,27,,,,,11,17,43,1,0.010,98,0,24514,4231,No
310100,0,34,132,50,13,0,10,87,43,194,57,0.101,564,0,35124,5884,No
310200,0,18,97,4,3,1,13,50,6,96,34,0.117,286,0,62778,1463,No
310300,,17,88,32,1,0,35,159,0,49,52,0.137,381,0,38706,4774,No
310400,,16,96,9,0,0,27,106,2,71,44,0.133,328,0,24706,4084,No
310500,,24,258,22,12,,10,120,14,125,46,0.079,585,0,25636,4856,No
310600,,13,73,10,1,,17,181,0,50,31,0.089,344,0,30799,6025,No
310700,,42,38,16,7,,68,128,1,54,116,0.327,356,0,46431,4167,No
310800,,22,54,28,2,86,102,60,3,49,126,0.310,407,0,26934,2490,No
310900,,44,25,23,5,,26,129,7,58,74,0.234,316,0,30506,5770,No
311000,,20,59,3,3,,3,191,1,116,26,0.066,396,0,28209,7111,No
311100,,19,74,3,3,1,32,165,2,84,54,0.138,389,0,31479,5886,No
311200,,35,28,23,1,,72,195,0,255,107,0.176,609,0,31989,4908,No
311300,,14,5,1,0,,19,179,2,10,33,0.141,231,0,40805,5242,No
311400,,25,104,4,4,,11,48,0,295,40,0.081,490,0,28897,1496,No
311500,,25,34,28,8,2,43,194,8,44,75,0.196,385,0,37673,7611,No
311600,,4,7,44,1,,30,,,7,36,0.381,94,0,29563,4103,No
311700,1,155,106,59,16,,11,106,5,40,182,0.366,498,1,36236,5593,Yes
311800,,15,119,22,8,,5,129,10,171,27,0.057,479,0,42975,4542,No
311900,,37,153,3,4,1,6,80,17,42,47,0.136,344,1,44781,2448,Yes
312000,,2,0,5,,,42,90,4,144,44,0.151,289,0,23310,4089,No
312100,,1,0,,,,174,,,74,175,0.702,249,4,40000,2725,Yes
312200,,5,15,6,,,2,62,,71,7,0.045,161,0,12092,2058,No
312300,,4,15,9,0,1,5,64,0,94,10,0.052,192,0,21055,1962,No
312400,,8,4,9,1,0,21,64,,62,30,0.177,170,0,18861,2208,No
312500,1,37,63,12,28,0,3,60,3,38,68,0.278,245,0,70653,4235,No
312600,0,26,31,44,16,0,25,101,0,38,68,0.239,284,1,68186,5871,Yes
312700,,6,1,5,,0,16,80,,16,22,0.176,124,0,49269,1955,No
312800,,4,10,30,,,26,21,12,34,30,0.214,138,0,18164,2332,No
312900,,5,24,31,,0,8,154,,31,13,0.049,254,0,28489,3941,No
313000,,12,13,15,2,0,0,108,,28,14,0.080,178,0,40099,2349,No
313100,4,8,0,26,322,60,48,34,3,190,378,0.544,695,10,59681,3356,Yes
313200,0,53,17,29,9,1,42,309,1,78,103,0.192,539,0,48834,3798,No
313300,1,13,17,11,10,,23,177,32,83,46,0.126,368,0,39719,2654,No
313400,,40,65,20,,0,33,127,1,65,73,0.208,352,0,39051,2935,No
313500,,18,43,7,,,5,122,0,65,23,0.089,260,0,31359,2501,No
313600,,15,36,3,,,7,143,3,58,22,0.084,265,0,23778,4831,No
313700,,27,7,4,1,,39,129,,21,66,0.292,228,0,28536,2457,No
313800,,8,41,57,0,0,14,85,2,70,22,0.080,277,0,21273,4774,No
313900,,19,171,56,26,1,23,23,2,115,67,0.155,434,1,47308,4495,Yes
314001,,22,113,28,21,,11,2,0,18,54,0.250,215,0,37314,2759,No
314002,0,6,5,67,10,3,121,3,,15,137,0.596,230,0,39229,7544,No
314400,,14,5,9,1,,,,,31,15,0.250,59,0,45261,3093,No
320100,,8,4,14,2,,9,74,,12,19,0.153,123,0,35693,2876,No
320200,,2,3,2,0,,,88,,13,3,0.025,108,0,28981,6662,No
332200,,3,11,,0,,0,85,0,7,3,0.029,107,0,30429,4985,No
332800,,17,48,20,0,,123,135,2,17,140,0.387,362,0,30265,4617,No
332900,,35,16,25,13,0,13,185,6,20,61,0.194,313,0,38762,5049,No
410100,0,15,1,38,27,,23,45,0,54,65,0.314,206,0,48504,3793,No
410200,0,20,11,32,37,0,6,76,,48,63,0.273,230,2,72774,4202,Yes
410300,0,46,10,23,9,1,3,23,,55,58,0.339,172,2,68344,2621,Yes
410401,0,11,3,9,3,0,,104,,4,13,0.099,135,0,83700,3807,No
410402,,12,8,7,2,,5,70,0,10,19,0.163,117,0,50955,2556,No
410500,0,12,10,23,2,0,0,111,,13,14,0.081,171,0,67075,4209,No
410600,0,43,15,39,17,,1,12,,8,61,0.447,136,5,80937,3206,Yes
410701,1,24,13,21,5,0,2,100,,5,31,0.181,170,2,46569,3640,Yes
410702,0,9,15,25,7,0,7,37,2,32,24,0.174,135,1,45654,2622,Yes
410800,0,27,5,25,2,,10,101,,12,39,0.212,183,1,41078,3818,Yes
410900,0,11,4,23,5,1,0,66,,9,16,0.136,119,1,62515,2684,Yes
411000,0,59,36,39,19,,16,67,,12,94,0.377,250,1,82239,4162,Yes
411100,1,6,3,7,6,,10,200,,6,21,0.088,238,2,142249,3450,Yes
411200,0,,14,0,,,1,485,12,43,1,0.001,555,0,250001,1803,No
411300,1,34,4,43,60,2,4,33,12,23,98,0.455,216,0,60978,3383,No
411400,1,21,21,4,1,,,243,,35,21,0.066,326,0,211001,2775,No
411501,2,67,12,57,36,,3,80,,10,106,0.394,268,1,78341,5233,Yes
411502,0,48,55,54,104,1,0,28,,34,152,0.468,325,1,71262,3916,Yes
411600,0,1,4,0,1,1,,88,12,3,2,0.017,111,0,120972,2307,No
411800,2,117,14,43,25,0,3,112,9,42,145,0.394,368,2,79447,4835,Yes
411900,0,10,14,16,5,5,18,213,4,20,32,0.105,305,0,94891,3681,No
412000,0,39,3,9,14,0,268,183,,191,321,0.453,708,2,167336,2892,Yes
412100,,0,1,,,,0,,,4,0,0.000,6,0,0,2328,No
